epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,1543.36,0.22535,0.19862,0.7703,0.37327,0.83577,0.48926,0.37829,0.84953,2.75135,1.03187,8.51572e-05,8.51572e-05,8.51572e-05
104,1556.76,0.22547,0.19518,0.77538,0.37084,0.82305,0.49824,0.38398,0.83349,2.787,1.01926,8.43058e-05,8.43058e-05,8.43058e-05
105,1570.26,0.21539,0.1895,0.77267,0.38505,0.79983,0.49876,0.39108,0.82213,2.69649,1.01099,8.34544e-05,8.34544e-05,8.34544e-05
106,1582.97,0.21387,0.19271,0.77098,0.42917,0.78745,0.49364,0.39015,0.81849,2.6287,1.01222,8.2603e-05,8.2603e-05,8.2603e-05
107,1598.2,0.21888,0.18949,0.7702,0.34746,0.82633,0.50817,0.40594,0.78187,2.74075,0.99317,8.17516e-05,8.17516e-05,8.17516e-05
108,1613.43,0.21653,0.19051,0.76865,0.44555,0.75049,0.49096,0.39198,0.81451,2.81009,1.007,8.09002e-05,8.09002e-05,8.09002e-05
109,1626.18,0.22527,0.18898,0.77421,0.3453,0.85185,0.48664,0.38508,0.81642,2.732,1.00885,8.00488e-05,8.00488e-05,8.00488e-05
110,1639.03,0.21499,0.18789,0.77036,0.35278,0.85534,0.47205,0.36901,0.78353,2.58903,0.98914,7.91974e-05,7.91974e-05,7.91974e-05
111,1651.62,0.2265,0.19892,0.77385,0.33413,0.86572,0.47216,0.38038,0.74774,2.6853,0.97046,7.8346e-05,7.8346e-05,7.8346e-05
112,1669,0.22393,0.19849,0.77239,0.33402,0.84027,0.45803,0.36637,0.81652,2.71325,0.9972,7.74946e-05,7.74946e-05,7.74946e-05
113,1681.4,0.22502,0.19176,0.77371,0.32639,0.86131,0.46691,0.36663,0.81548,3.00423,1.00072,7.66432e-05,7.66432e-05,7.66432e-05
114,1694.21,0.2164,0.19018,0.77071,0.45239,0.75022,0.48433,0.37494,0.80196,2.80365,1.00194,7.57918e-05,7.57918e-05,7.57918e-05
115,1710.27,0.22801,0.19386,0.77388,0.4532,0.75302,0.45163,0.35742,0.80712,2.84497,1.00394,7.49404e-05,7.49404e-05,7.49404e-05
116,1722.81,0.21228,0.18152,0.77209,0.45196,0.7687,0.45362,0.35518,0.82244,2.90827,1.01449,7.4089e-05,7.4089e-05,7.4089e-05
117,1735.64,0.21602,0.18295,0.77192,0.44807,0.72004,0.4478,0.34506,0.86164,2.78067,1.03551,7.32376e-05,7.32376e-05,7.32376e-05
